step,metric,metric_display,mean,std,num_seeds,raw_seed7,smooth_seed7,raw_seed8,smooth_seed8,raw_seed9,smooth_seed9
444,validation/reward/total_mean,validation/reward/total_mean,0.4029438,0.03063046202633362,3,0.397484,0.404007,0.366854,0.36490900000000004,0.439592,0.4399154
447,validation/reward/total_mean,validation/reward/total_mean,0.4052674666666667,0.03446078416686937,3,0.418966,0.40957740000000004,0.404881,0.3610722,0.424926,0.44515279999999996
450,validation/reward/total_mean,validation/reward/total_mean,0.3910052,0.03622306988904537,3,0.33992,0.38913359999999997,0.296427,0.34760660000000004,0.384117,0.4362754
453,validation/reward/total_mean,validation/reward/total_mean,0.3885354666666667,0.03425966513957131,3,0.418044,0.397171,0.329524,0.34293019999999996,0.392221,0.42550520000000003
456,validation/reward/total_mean,validation/reward/total_mean,0.37424233333333334,0.030908913676298763,3,0.30904,0.3766908,0.278424,0.335222,0.413215,0.4108142
459,validation/reward/total_mean,validation/reward/total_mean,0.36706120000000003,0.035729589904540816,3,0.263325,0.34985900000000003,0.363327,0.3345166,0.469561,0.41680799999999996
462,validation/reward/total_mean,validation/reward/total_mean,0.35852866666666666,0.04427005785925992,3,0.292771,0.32462,0.38182,0.3299044,0.446194,0.4210616
465,validation/reward/total_mean,validation/reward/total_mean,0.3686011333333334,0.04580615727412878,3,0.317739,0.3201838,0.424599,0.3555388,0.429213,0.4300808
468,validation/reward/total_mean,validation/reward/total_mean,0.37060553333333335,0.061164614690594525,3,0.343555,0.305286,0.322612,0.35415640000000004,0.503688,0.45237420000000006
471,validation/reward/total_mean,validation/reward/total_mean,0.38118786666666665,0.06401582067839864,3,0.326983,0.3088746,0.358508,0.3701732,0.473923,0.46451580000000003
474,validation/reward/total_mean,validation/reward/total_mean,0.3876227333333333,0.05338770735973677,3,0.385482,0.333306,0.359285,0.3693648,0.447969,0.46019740000000003
477,validation/reward/total_mean,validation/reward/total_mean,0.3812377333333334,0.045869296273748174,3,0.320798,0.33891140000000003,0.334142,0.35982919999999996,0.37007,0.4449726
480,validation/reward/total_mean,validation/reward/total_mean,0.37687186666666667,0.04139318495802042,3,0.342862,0.343936,0.382598,0.351429,0.380603,0.4352506
483,validation/reward/total_mean,validation/reward/total_mean,0.3757496,0.037622399244067344,3,0.314085,0.338042,0.375944,0.36209539999999996,0.462992,0.4271114
486,validation/reward/total_mean,validation/reward/total_mean,0.37105146666666666,0.03444541209869447,3,0.320521,0.3367496,0.339271,0.358248,0.42915,0.41815679999999994
489,validation/reward/total_mean,validation/reward/total_mean,0.36615819999999993,0.032883836527185614,3,0.329327,0.3255186,0.40254,0.366899,0.38747,0.406057
492,validation/reward/total_mean,validation/reward/total_mean,0.374364,0.03240978001406365,3,0.371469,0.3356528,0.361982,0.372467,0.414646,0.41497219999999996
495,validation/reward/total_mean,validation/reward/total_mean,0.38048919999999997,0.025056268361163966,3,0.408818,0.34884400000000004,0.432782,0.3825038,0.356341,0.41011980000000003
498,validation/reward/total_mean,validation/reward/total_mean,0.3778634666666667,0.021247309461879877,3,0.329675,0.351962,0.35154,0.377623,0.43242,0.40400540000000007
0,reward/total_mean,reward/total_mean,-0.08009999999999999,0.16820694361609057,3,0.156399,0.156399,-0.176179,-0.176179,-0.22052,-0.22052
1,reward/total_mean,reward/total_mean,-0.05583816666666667,0.14582414218064932,3,0.138727,0.147563,-0.079975,-0.128077,-0.153481,-0.18700050000000001
2,reward/total_mean,reward/total_mean,-0.02822866666666667,0.1156456319647159,3,0.096841,0.13065566666666667,0.033885,-0.07408966666666666,-0.049755,-0.14125200000000002
3,reward/total_mean,reward/total_mean,0.0016024166666666617,0.1026491609351024,3,0.179969,0.142984,0.060018,-0.04056275,0.0333,-0.097614
4,reward/total_mean,reward/total_mean,0.017528666666666668,0.1048024647229677,3,0.233383,0.1610638,0.051024,-0.022245400000000002,-0.040706,-0.0862324
5,reward/total_mean,reward/total_mean,0.049618399999999986,0.08940994804174013,3,0.195318,0.1688476,0.067379,0.026466199999999995,-0.021651,-0.0464586
6,reward/total_mean,reward/total_mean,0.08949906666666667,0.08482127712035989,3,0.335523,0.2082068,0.013141,0.0450894,0.154817,0.015201000000000003
7,reward/total_mean,reward/total_mean,0.10872920000000001,0.08140683849227083,3,0.16536,0.2219106,0.160384,0.0703892,0.043679,0.0338878
8,reward/total_mean,reward/total_mean,0.12861586666666666,0.10137705443900454,3,0.428552,0.2716272,0.037435,0.0658726,0.1056,0.0483478
